osm_type,osm_id,name,amenity,lat,lon,opening_hours,brand,website,city
node,1513700911,Ikenberry Dining Hall,fast_food,40.1038377,-88.2353246,,,,Champaign
node,1517341158,Houlihan's,restaurant,40.0938474,-88.2377005,Su-Th 11:00-22:00;Fr 11:00-23:00;Sa 07:00-23:00;Su 07:00-11:00,Houlihan's,,Champaign
node,1518495798,Chipotle,fast_food,40.1104224,-88.2307897,Mo-Su 10:45-22:00,Chipotle,https://locations.chipotle.com/il/champaign/528-e-green-st,Champaign
node,1518496243,Zhang Liang DIY Malatang,restaurant,40.1106842,-88.2305667,,,,Champaign
node,1518496754,Jerusalem Restaurant,restaurant,40.1113865,-88.2290892,,,,Champaign
node,1518496854,Shi Miao Dao Yunnan Rice Noodle,restaurant,40.1112093,-88.2290863,,Shi Miao Dao Yunnan Rice Noodle,https://www.tensecondsricenoodle1848.com/,Champaign
node,1518497073,Noodles & Company,restaurant,40.1104675,-88.2305751,,Noodles & Company,,Champaign
node,1529108232,Panda Express,fast_food,40.1459675,-88.2585736,"Mo-Th 10:00-21:30; Fr,Sa 10:00-22:00; Su 10:30-21:00",Panda Express,https://www.pandaexpress.com/locations/il/champaign/1618,Champaign
node,1529108264,Penn Station,fast_food,40.1432503,-88.2591942,"Mo-We 11:00-21:00; Th,Fr 11:30-21:00; Sa 11:30-21:30; Su 12:00-19:00",Penn Station,https://orders.penn-station.com/locations/west-town-center-boulevard-154,Champaign
node,1569550906,Jimmy John's,fast_food,40.097498,-88.2769982,Sa-Th 10:00-23:00; Fr 10:00-00:00,Jimmy John's,https://locations.jimmyjohns.com/il/champaign/sandwiches-9015.html,Champaign
node,1574812883,Ko-Fusion,restaurant,40.1176877,-88.2423514,Su-Th 11:00-21:00; Fr-Sa 11:00-21:30,,https://www.kofusion.com/,Champaign
node,1575855737,Peking Garden,restaurant,40.1179954,-88.2449585,We-Mo 11:00-22:00; Tu 16:00-22:00,,https://www.pekinggardenil.com/,Champaign
node,1575855798,The Himalayan Chimney,restaurant,40.1184129,-88.2450031,"Mo-Sa 11:00-15:00, 17:00-22:00; Su 12:00-15:00, 17:00-21:00",,https://www.thehimalayanchimneyil.com/,Champaign
node,1575855825,Golden Harbor,restaurant,40.1111542,-88.2437892,"Tu-Sa 11:00-14:45, 16:00-21:00; Su 11:00-14:45, 16:00-20:00",,https://www.goldenharboronline.com/,Champaign
node,1641482844,Sushi Ichiban,restaurant,40.1108611,-88.2291041,,,,Champaign
node,1641482845,Dunkin',fast_food,40.1101835,-88.2299993,06:00-21:00,Dunkin',https://locations.dunkindonuts.com/en/il/champaign/607-e-green-st/347329,Champaign
node,2134399566,Mia Za's,restaurant,40.1101957,-88.2292323,Mo-Sa 10:00-21:30;Su 10:00-20:30,,http://www.miazas.com,Champaign
node,2138362402,Silvermine,fast_food,40.1079179,-88.2296681,,,,Champaign
node,2175852055,Insomnia Cookies,restaurant,40.1091817,-88.2312669,"Mo-We 11:00-01:00, Th-Fr 11:00-03:00, Sa 12:00-03:00, Su 12:00-01:00",Insomnia Cookies,https://insomniacookies.com/locations/store/7,Champaign
node,2175852369,Yangguofu Malatang,restaurant,40.1101848,-88.2298478,,,,Champaign
node,2175852880,Mid Summer Lounge,restaurant,40.1101864,-88.2294515,,,https://www.midsummerlounge.com/,Champaign
node,2175853756,Cao's Hot Pot,restaurant,40.1108388,-88.2302439,11:30-22:00,,,Champaign
node,2175861163,Fat Sandwich Company,fast_food,40.1091985,-88.2316164,Mo-Su 11:00-03:00,,http://www.fatsandwichchampaign.com/,Champaign
node,2175884996,Cravings Restaurant,restaurant,40.1113297,-88.229086,,,,Champaign
node,2175885007,Subway,fast_food,40.1104394,-88.2295487,24/7,Subway,https://restaurants.subway.com/united-states/il/champaign/616-east-green-street,Champaign
node,2180118612,Evo,restaurant,40.1094916,-88.230544,,,,Champaign
