osm_type,osm_id,city,amenity,name,brand,website,opening_hours,lat,lon,has_name,has_brand,has_website,has_opening_hours,completeness_score
node,2175885007,Champaign,fast_food,Subway,Subway,https://restaurants.subway.com/united-states/il/champaign/616-east-green-street,24/7,40.1104394,-88.2295487,True,True,True,True,4
node,11943143457,Chapel Hill,restaurant,Bonchon Chicken,Bonchon Chicken,https://www.bonchonchapelhill.com/,Su-Th 11:00-21:00; Fr-Sa 11:00-22:00,35.9145113,-79.0526575,True,True,True,True,4
way,847039890,Chapel Hill,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1028367/hwy-86-eubanks-rd-exit-266-100-village-center-dirive-1001-chapel-hill-nc-2751,Mo-Su 05:00-21:30,35.9699221,-79.0634685,True,True,True,True,4
way,847039888,Chapel Hill,fast_food,Chick-fil-A,Chick-fil-A,https://www.chick-fil-a.com/locations/nc/carraway-village,Mo-Th 06:30-21:00; Fr-Sa 06:30-22:00; Su off,35.9698516,-79.0646007,True,True,True,True,4
node,9143335634,Chapel Hill,fast_food,Dunkin',Dunkin',https://locations.dunkindonuts.com/en/nc/chapel-hill/110-stancell-dr/358156,Mo-Fr 06:00-19:00; Sa-Su 07:00-19:00,35.9009462,-79.0070427,True,True,True,True,4
node,1569550906,Champaign,fast_food,Jimmy John's,Jimmy John's,https://locations.jimmyjohns.com/il/champaign/sandwiches-9015.html,Sa-Th 10:00-23:00; Fr 10:00-00:00,40.097498,-88.2769982,True,True,True,True,4
node,1529108264,Champaign,fast_food,Penn Station,Penn Station,https://orders.penn-station.com/locations/west-town-center-boulevard-154,"Mo-We 11:00-21:00; Th,Fr 11:30-21:00; Sa 11:30-21:30; Su 12:00-19:00",40.1432503,-88.2591942,True,True,True,True,4
node,1529108232,Champaign,fast_food,Panda Express,Panda Express,https://www.pandaexpress.com/locations/il/champaign/1618,"Mo-Th 10:00-21:30; Fr,Sa 10:00-22:00; Su 10:30-21:00",40.1459675,-88.2585736,True,True,True,True,4
node,8551477229,College Station,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1023218/william-d-fitch-and-arrington-895-william-d-fitch-parkway-100-college-station-tx,Mo-Th 04:30-19:30; Fr 04:30-20:00; Sa 05:00-20:00; Su 05:30-20:00,30.5551497,-96.2646537,True,True,True,True,4
node,4470453190,Champaign,fast_food,Papa Murphy's,Papa Murphy's,https://locations.papamurphys.com/il/champaign/1753-west-kirby-avenue,Su-Th 11:00-20:00; Fr-Sa 11:00-21:00,40.0972527,-88.2758214,True,True,True,True,4
node,4301553699,Champaign,fast_food,McDonald's,McDonald's,https://www.mcdonalds.com/us/en-us/location/36750.html,24/7,40.1104563,-88.229815,True,True,True,True,4
node,6193684319,College Station,restaurant,Piada Italian Street Food,Piada Italian Street Food,https://mypiada.com/locations/college-station,Mo-Su 10:45-23:00,30.6242523,-96.3396205,True,True,True,True,4
node,6193684318,College Station,restaurant,CAVA,CAVA,https://cava.com/locations/college-station-tx,Mo-Su 10:45-22:00; PH 10:45-15:00,30.6244897,-96.339366,True,True,True,True,4
node,4974577421,College Station,fast_food,Subway,Subway,https://restaurants.subway.com/united-states/tx/college-station/2048-holleman,Mo-Fr 07:00-24:00; Sa 08:00-24:00; Su 09:00-24:00,30.587644,-96.3387408,True,True,True,True,4
node,4133866317,College Station,fast_food,Papa John's,Papa John's,https://locations.papajohns.com/united-states/tx/77840/college-station/1741-university-drive-e,Mo-Th 09:30-02:00; Fr 09:30-03:00; Sa 09:30-01:00; Su 09:30-24:00,30.6398554,-96.3135296,True,True,True,True,4
node,4131890047,College Station,fast_food,Domino's,Domino's,https://pizza.dominos.com/texas/college-station/409-a-university-dr,Mo-We 10:00-02:00; Th-Sa 10:00-03:00; Su 10:00-02:00,30.6186747,-96.3453713,True,True,True,True,4
node,4103537953,College Station,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/8458/university-wellborn-409-university-college-station-tx-778401403-us,Mo-Su 05:30-19:00,30.6188384,-96.3452205,True,True,True,True,4
node,4098715654,College Station,fast_food,Chipotle,Chipotle,https://locations.chipotle.com/tx/college-station/1505-university-dr-e,Mo-Su 10:45-22:00,30.6393082,-96.3174916,True,True,True,True,4
node,6193684325,College Station,restaurant,Blaze Pizza,Blaze Pizza,https://www.blazepizza.com/locations/TX/College-Station,"Mo-Th 10:45-22:30; Fr,Sa 10:45-23:30; Su 11:00-22:30",30.6257015,-96.3385963,True,True,True,True,4
node,6193684321,College Station,restaurant,Tiff's Treats,Tiff's Treats,https://www.cookiedelivery.com/,Mo-Fr 09:00-24:00; Sa-Su 10:00-24:00,30.6244377,-96.3394303,True,True,True,True,4
way,1288443649,Ann Arbor,fast_food,Panda Express,Panda Express,https://www.pandaexpress.com/locations/mi/ann-arbor/1124,"Mo-Fr 11:00-19:00; Sa,Su 12:00-17:00",42.2907833,-83.7176325,True,True,True,True,4
way,381532676,Ann Arbor,fast_food,Little Caesars,Little Caesars,https://littlecaesars.com/en-us/store/101/,Mo-Su 10:00-21:00,42.2445939,-83.6999207,True,True,True,True,4
node,10687737190,College Station,fast_food,Panda Express,Panda Express,https://www.pandaexpress.com/locations/tx/college-station/3320,Mo-Fr 11:00-21:00,30.6226768,-96.3378426,True,True,True,True,4
node,10687137408,College Station,restaurant,Velvet Taco,Velvet Taco,https://www.velvettaco.com/location/college-station/,"Th 11:00-24:00; Fr-Sa 11:00-02:00, Su-We 11:00-22:00",30.6243883,-96.3394839,True,True,True,True,4
node,10674793340,College Station,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1022614/texas-a-m-school-of-engineerin-125-spence-street-college-station-tx-77840-us,Mo-Th 07:30-20:00; Fr 07:30-17:00,30.6213911,-96.340598,True,True,True,True,4
node,10116940371,College Station,cafe,Sharetea,Sharetea,https://shareteahouston.com/,Su-Th 11:00-23:00; Fr-Sa 11:00-24:00,30.6240641,-96.3397228,True,True,True,True,4
node,5732203412,Chapel Hill,fast_food,Domino's,Domino's,https://pizza.dominos.com/north-carolina/chapel-hill/110-banks-dr,Mo-Th 10:00-24:00; Fr-Sa 10:00-25:00; Su 10:00-24:00,35.9627855,-79.0559346,True,True,True,True,4
node,7825018887,Champaign,fast_food,Domino's,Domino's,https://pizza.dominos.com/illinois/champaign/55-e-green-street,"Su-Th 10:30-01:00; Fr,Sa 10:30-02:00",40.1100571,-88.2398128,True,True,True,True,4
node,5847769705,Champaign,fast_food,Moe's Southwest Grill,Moe's Southwest Grill,https://www.moes.com/find-a-moes/illinois/champaign,10:30-22:00,40.0902056,-88.246479,True,True,True,True,4
node,5847769695,Champaign,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/1013006/south-neil-carriage-center-2011-s-neil-st-champaign-il-618207219-us,Mo-Th 05:00-22:00; Fr-Sa 05:00-22:30; Su 06:00-22:00,40.0916641,-88.2462613,True,True,True,True,4
node,5847769694,Champaign,fast_food,Dave's Hot Chicken,Dave's Hot Chicken,https://restaurants.daveshotchicken.com/il/champaign/best-hot-chicken-sandwich-in-champaign/,Su-Th 10:30-00:00; Fr-Sa 10:30-01:00,40.0917141,-88.246263,True,True,True,True,4
node,2521803079,Champaign,fast_food,Subway,Subway,https://restaurants.subway.com/united-states/il/champaign/2610-no-prospect-ave,Mo-Su 08:30-21:30,40.1473101,-88.2554514,True,True,True,True,4
node,2521803060,Champaign,fast_food,Little Caesars,Little Caesars,https://littlecaesars.com/en-us/store/11348/,Su-Sa 10:00-22:00,40.1407135,-88.2552218,True,True,True,True,4
node,2385815584,Champaign,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/10448-98526/champaign-n-prospect-ave-2702-north-prospect-champaign-il-618221298-us,Mo-Sa 05:00-21:00; Su 06:00-21:00,40.1482179,-88.2572316,True,True,True,True,4
node,9793822486,College Station,fast_food,Subway,Subway,https://restaurants.subway.com/united-states/tx/college-station/1815-brothers-blvd,09:00-22:00,30.5975993,-96.3004494,True,True,True,True,4
node,9446291091,College Station,cafe,Starbucks,Starbucks,https://www.starbucks.com/store-locator/store/12104/target-college-station-800-2100-texas-ave-s-college-station-tx-778403918-us,Mo-Su 08:00-20:00,30.6104386,-96.3152316,True,True,True,True,4
node,11575726664,College Station,fast_food,MOD Pizza,MOD Pizza,https://locations.modpizza.com/usa/tx/college-station/11655-fm-2154,Mo-We 10:30-22:00; Th-Sa 10:30-23:00; Su 10:30-22:00,30.5837839,-96.3234627,True,True,True,True,4
node,10745004741,College Station,fast_food,Five Guys,Five Guys,https://restaurants.fiveguys.com/711-university-drive-e,11:00-21:30,30.6346155,-96.3278975,True,True,True,True,4
